year,transect,lattitude,longitude,depth_m_,dfs_m_,substrate.code,point,potfol,elonut,cerdem,najfle,potcri,myrspi,valame,najmin,potgra,potper,zanpal,calsp,nymodo,lemmin,spipol,stupec,elasp,potbic,potpus,unidentif3,elesp,spaspp,typha,point_sum_myrspi,point_sum_cerdem,point_sum_others,june_temp,june_dew_point,precipitation
2008,6,41.57054,-73.48871,3,70,4,1,NA,NA,0,NA,0,5,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,17,2,0,72.29,63.6,0
2008,6,41.5146,-73.45345,5.2,80,6,1,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,17,2,0,72.29,63.6,0
2008,6,41.51395,-73.45339,1.2,10,5,1,NA,NA,0,NA,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,17,2,0,72.29,63.6,0
2008,6,41.50205,-73.45222,3.8,60,5,1,NA,NA,2,NA,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,17,2,0,72.29,63.6,0
2008,6,41.42727,-73.44988,2,60,6,1,NA,NA,0,NA,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,17,2,0,72.29,63.6,0
2008,6,41.57152,-73.4432,4,40,5,1,NA,NA,0,NA,0,4,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,17,2,0,72.29,63.6,0
2008,6,41.57066,-73.48865,3,60,4,2,NA,NA,0,NA,0,5,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,12,3,0,72.29,63.6,0
2008,6,41.57112,-73.48838,0.5,5,3,2,NA,NA,0,NA,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,12,3,0,72.29,63.6,0
2008,6,41.42421,-73.45277,0,50,4,2,NA,NA,3,NA,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,12,3,0,72.29,63.6,0
2008,6,41.50221,-73.45249,5.5,80,5,2,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,12,3,0,72.29,63.6,0
