year,zeb_msc,longitude,latitude,depth_m_,dfs_m_,substrate.code
2021, 2,-73.4462038,41.4959082,0.3,0.5,6
2021,1,-73.4402831,41.4545494,1.7,70,5
2021,1,-73.4470164,41.449001,2.1,40,5
2021, 1,-73.463584,41.498288,4.1,0.5,4
2021, 1,-73.4708561,41.510528,5,5,1
2021, 9,-73.4426457,41.5679538,1,10,1
2021, 2,-73.45739,41.44106,2.1,40,5
2021, 2,-73.4667525,41.4921712,4.1,0.5,4
2021, 2,-73.44581334112141,41.45085129076893,2.1,40,5
2021, 5,-73.4380125604779,41.57809366030055,1.1,10,5
2021, 1,-73.45733705000231,41.44151260000003,2.1,40,5
2021, 1,-73.46920384201758,41.498721457856334,4.1,0.5,4
2021, 3,-73.46580658164869,41.5313774022956,5,5,1
2021, 6,-73.43815387022806,41.5267189105554,0.3,0,5
2022, 6,-73.43532136208303,41.482686771491494,0.6,10,5
2021,1,-73.42946335149439,41.44702061402055,1.2,30,5
2021, 1,-73.44279218826858,41.54407441777648,2,40,1
2022, 2,-73.44316539975867,41.540337450016494,4.7,40,4
2021,1,-73.44052214669551,41.454588544385444,1.7,70,5
2021,1,-73.4385305656784,41.453396407907356,1.7,70,5
2021,1,-73.4590551026433,41.48676006051503,4,80,4
2021,1,-73.45021984176793,41.42592513116896,3.5,80,4
2021,1,-73.45868464781825,41.48907747623694,4,80,4
2021,1,-73.44408836330844,41.45822527452913,1.7,70,5
2021,1,-73.44158768300314,41.50326447026922,0,0,5
2021,1,-73.46861276009156,41.50791345976131,5,5,1
2021,1,-73.46515052314304,41.50184945539676,5.7,80,4
2021,1,-73.43872605002396,41.530331849026155,0.3,0,5
2021,1,-73.46971987101678,41.50934693969848,5,5,1
2021,1,-73.46059700005394,41.5066672500045,1,20,1
2021,1,-73.46783300700685,41.55422557420798,3.1,80,4
2021,1,-73.43593250888543,41.46630596468529,1,5,5
2021,1,-73.43971063754752,41.512626643966705,2.6,20,6
2021,1,-73.44318824758986,41.5495126075609,2,40,1
2021,1,-73.43635567577027,41.51944668250083,0.3,0,5
2021,1,-73.44320747225387,41.5711321976463,3.3,40,4
2021,1,-73.4819715965193,41.558518865276355,3.1,80,4
2021,1,-73.43850726853165,41.52998781827169,0.3,0,5
2021,1,-73.43763944521518,41.52695723326751,0.3,0,5
2021,1,-73.47298423621386,41.55586198017109,3.1,80,4
2021,1,-73.46082392421411,41.50874196467744,5,5,1
2021,1,-73.45639187149594,41.49217981695177,4,80,4
2021,1,-73.49212891292319,41.572618063633605,0.2,5,1
2021,1,-73.44266894125279,41.48539224972975,1.5,80,5
2021,1,-73.44413308113705,41.55677337112386,7.3,80,4
2021,1,-73.45737822666936,41.441180599329655,2.1,40,5
2021,1,-73.45394074832943,41.45681823054115,1.7,70,5
2021,1,-73.4437327074515,41.55779657883521,7.3,80,4
2021,1,-73.46600263507516,41.55201076126619,3.1,80,4
2021,1,-73.44323320595711,41.479018065051854,1.5,80,5
2021,1,-73.4605022612902,41.50764171490318,1,20,1
2022,0,-73.4442,41.57246,12,80,5
2022,0,-73.44565,41.57116,0,50,7
2022,1,-73.4449,41.55523,7.3,80,2
2022,0,-73.43944,41.55276,2,40,6
2022,0,-73.44658,41.53969,4.7,40,7
2022,5,-73.44416,41.51404,1,0.5,7
2022,8,-73.44469,41.50518,0,0,7
2022,5,-73.46664,41.54308,5,5,7
2022,19,-73.46144,41.53542,5,5,7
2022,17,-73.45791,41.52137,0,80,5
2022,17,-73.45583,41.51674,0,80,6
2022,10,-73.46001,41.50261,5.7,80,7
2022,3,-73.46902,41.49784,4.1,0.5,4
2022,23,-73.45896,41.47174,0,60,5
2022,13,-73.45615,41.46632,0,60,5
2022,46,-73.45069,41.46606,0,60,5
2022,21,-73.44439,41.45887,1.7,70,5
2022,13,-73.44941,41.47707,0,60,5
2022,16,-73.43109,41.46882,0,80,5
2022,3,-73.43569,41.46031,1.7,70,5
2022,11,-73.45793,41.44013,2.1,40,7
2022,1,-73.4451,41.56737,7.3,80,5
2022,1,-73.44556,41.55076,7.3,80,7
2022,4,-73.44304,41.53001,4.7,40,4
2022,15,-73.43793,41.52604,0.3,0,7
2022,9,-73.44812,41.49751,0.3,0.5,7
2022,0,-73.47235,41.51113,5,5,4
2022,77,-73.45813,41.48324,0,60,5
2022,22,-73.43433,41.48675,0.1,0.1,5
2022,10,-73.45232,41.45176,2.1,40,7
2022,0,-73.43049,41.44879,0.5,50,5
