Year,Spring_var,Comments
2024,1  Early spring,"NO Shadow at 7:26 AM; 36º with overcast skies. Miranda Moore, 2023 Miss Pennsylvania was the special guest of the Inner Circle at the Knob."
2023,0 More winter,Shadow at 7:24 AM; 13º with clear skies. PA Governor Josh Shapiro attends. Thousands of Eagles Super Bowl LVII fans help celebrate Phil’s big day at the Knob.
2022,0 More winter,Shadow at 7:27 AM; 27º with clear skies. A loyal crowd of thousands returned to Gobbler’s Knob.
2021,0 More winter,Shadow at 7:25 AM; 19º with light snow. Coronavirus fear prohibits crowds on Gobbler’s Knob.
2020,1  Early spring,NO Shadow at 7:26 AM; 30º with light snow falling.
2019,1  Early spring,NO Shadow at 7:28 AM; 14º fog & mist with -1º Wind Chill.
2018,0 More winter,"At 7:25 a.m. with 18,000 Phil Phans present, Phil saw his shadow! Six More Weeks of Winter!"
2017,0 More winter,"7:25 a.m. Saw His Shadow, Six More Weeks of Winter! There were a few snow flurries during the prognostication."
2016,1  Early spring,No Shadow- Early Spring It was 28° at Gobbler’s Knob. Phil made his perdition of an Early Spring at 7:25 a.m.
2015,0 More winter,Six More Weeks of Winter Was the prediction of Phil. The morning was filled with freezing rain. Phil emerged from his burrow at 7:26 a.m.
2014,0 More winter,"Six More Weeks of Winter With fog in site, Phil made his prediction at 7:26 a.m."
2013,1  Early spring,No Shadow- Early Spring A Balmy 7° Phil made his prediction at 7:25 a.m.
2012,0 More winter,Six More Weeks of Winter The skies slightly overcast and a temperate of 30°. Phil saw his shadow!
2011,1  Early spring,"No Shadow- Early Spring With rain over head, Phil made his prediction."
2010,0 More winter,The temperature was 12°. Saw Shadow- Six More Weeks of Winter
2009,0 More winter,At 7:26 a.m. Phil saw his shadow and Inner Circle President Bill Cooper completed his final interpretation and retired at Gobbler’s Knob.
2008,0 More winter,"At 7:28 a.m., 29°, Phil Saw his Shadow."
2007,1  Early spring,No Shadow- Early Spring It was a cloudy morning with light snow flurries when Phil emerged from his burrow at about 7:26 a.m. and did not see his shadow.
2006,0 More winter,Phil saw his shadow while wearing his Steeler “Terrible Towel” at 7:25 a.m. The temperature was a balmy 38 degrees.
2005,0 More winter,"The sky was clear as Phil saw his shadow before an enthusiastic crowd of 10-18,000. The time was 7:31 a.m. It was Phil’s 119th prediction."
2004,0 More winter,Phil saw his shadow at 7:27 in 8 degree weather. Event was webcast live on www.groundhog.org
2003,0 More winter,Phil saw his shadow at 7:25 AM as Pennsylvania’s newly elected Governor Ed Rendell looked on from Gobbler’s Knob.
2002,0 More winter,"Phil saw his shadow at the largest event in 116 year history with estimated 30,000 people celebrating 02/02/02"
2001,0 More winter,Phil’s prediction of 6 more weeks of winter weather was displayed on the Astrovision in New York’s Time Square.
2000,0 More winter,It was the dawn of a new “Phillenium” and 12-degrees at Gobbler’s Knob when Phil saw his shadow at 7:28 AM.
1999,1  Early spring,"Over 15,000 people celebrated as Phil saw no shadow at 7:23 AM and predicted and early spring"
1998,0 More winter,Saw Shadow 7:20AM; Six more weeks of “El Nino” Winter.
1997,1  Early spring,"No Shadow 7:25AM. Made his 110th prediction. Largest crowd the Knob has seen 35,000 people"
1996,0 More winter,Saw Shadow 7:21; So cold he dug deep to make his prediction.
1995,1  Early spring,No Shadow; Guested on the Oprah Winfrey TV Show and made new fans.
1994,0 More winter,Saw Shadow 7:28 AM.
1993,0 More winter,Saw Shadow. “Groundhog Day” The movie with Bill Murray was released in time for PHIL’S Predition.
1992,0 More winter,Saw Shadow.
1991,0 More winter,Saw Shadow.
1990,1  Early spring,No Shadow.
1989,0 More winter,Saw Shadow.
1988,1  Early spring,No Shadow.
1987,0 More winter,Saw Shadow 7:29 AM.
1986,1  Early spring,No Shadow! Visited President Reagan at the White House in March.
1985,0 More winter,Saw Shadow at 7:28 AM.
1984,0 More winter,Saw Shadow shortly after 7 AM.
1983,1  Early spring,"No Shadow; Peered over at 7:29 AM, but saw no shadow; predicted an early spring after a mild winter."
1982,0 More winter,Saw Shadow 7:26 AM; After coldest January in more than a century.
1981,0 More winter,Saw Shadow at 7:27 AM.
1980,0 More winter,Saw Shadow at 7:29 AM.
1979,0 More winter,Saw Shadow at 7:28 AM.
1978,0 More winter,Saw Shadow at 7:28 AM.
1977,0 More winter,Saw Shadow at 7:27; In midst of energy crisis.
1976,0 More winter,Saw Shadow at 7:29 AM.
1975,1  Early spring,No Shadow; Declared at 7:31 AM.
1974,0 More winter,Saw Shadow 8:28 AM.
1973,0 More winter,Saw Shadow 7:29 AM.
1972,0 More winter,Saw Shadow 7:30 AM.
1971,0 More winter,Saw Shadow at 7:29 AM; 14 below zero.
1970,1  Early spring,No Shadow.
1969,0 More winter,Saw Shadow 7:29 AM.
1968,0 More winter,Saw Shadow 7:29 AM.
1967,0 More winter,Saw Shadow 7:25 AM.
1966,0 More winter,Saw Shadow at 7:21 AM.
1965,0 More winter,Saw Shadow shortly before 8 AM.
1964,0 More winter,Saw Shadow.
1963,0 More winter,Saw Shadow at 7:41 AM; Unusually dark shadow
1962,0 More winter,Saw Shadow at 7:29 AM; Just returned from second trip to the moon.
1961,0 More winter,Saw Shadow at 7:41 AM; 25 below zero.
1960,0 More winter,"Saw Shadow at 7:33 AM, forecasts extremely bad weather; appearance on the “Today” show."
1959,0 More winter,Saw Shadow at 8:23 AM; Announces that he has returned from a successful trip to the moon.
1958,0 More winter,Saw Shadow at 8:27 AM; Prepared for blast-off in his “Chucknik” spacecraft; First Woman-of-the-Year Award was given to Mrs. Louis (Olive) Woodring.
1957,0 More winter,Saw Shadow 7:47 AM.
1956,0 More winter,Saw Shadow 8:33 AM.
1955,0 More winter,Saw Shadow at 8:51 AM; 4-inch snowfall on Groundhog Day; Coverage on three TV stations.
1954,0 More winter,Saw Shadow at 8:03 AM; The groundhog was turned completely white from worry.
1953,0 More winter,Saw Shadow at 7:38 AM; First year with Sam Light as Groundhog Club president; First Man-of-the-Year Award goes to Ben Levy.
1952,0 More winter,"Saw Shadow at 7:52 AM; First appearance of Frau Gourndhog, Groundhog procession and shadow. Casting was on Dave Garroway’s TV Show on NBC on Monday, February 4."
1951,0 More winter,"Saw Shadow at 8:41 AM; Pictured with cheerleaders from PHS and SSCD. Betty Byers, Joan Wadding, Dorothy Armstrong and Kathleen Spinelli."
1950,1  Early spring,"No Shadow; Colleen Townsend, actress, was in town to promote the film, “When Willie Comes Marching Home.”"
1949,0 More winter,Saw Shadow at 7:32 AM.
1948,0 More winter,Saw Shadow at 8:46 AM; Dr. Frank Lorenzo was interviewed on KDKA Radio’s “Brunch With Bill” program.
1947,0 More winter,Saw Shadow at 7:37 AM; First newspaper photo of Groundhog Club members at Gobbler’s Knob.
1946,0 More winter,Saw Shadow at 7:52 AM.
1945,0 More winter,Saw Shadow at 9 AM.
1944,0 More winter,Saw Shadow at 9:10 AM.
1943,1  Early spring,Groundhog didn’t make an appearance; relied on Quarryville’s prediction – NO Shadow
1942,0 More winter,"Partial Shadow at 7:40 AM; “War clouds have blacked out parts of the shadow.” (“The Spirit,” Feb. 2, 1942)."
1941,0 More winter,Saw Shadow at 4:25 PM; Six Groundhog Girls.
1940,0 More winter,"Saw Shadow at 9 AM; Pictured with first Groundhog Day Queen, Miss Margaret Hunam."
1939,0 More winter,Saw Shadow at 9:10 AM.
1938,0 More winter,Saw Shadow at 9 AM; Blackest shadow in history.
1937,0 More winter,Saw Shadow at 9:09 AM; Unfortunate meeting with a skunk.
1936,0 More winter,Saw Shadow at 10:27 AM.
1935,0 More winter,Saw Shadow at 9:11 AM.
1934,1  Early spring,No Shadow.
1933,0 More winter,Saw Shadow.
1932,0 More winter,Saw Shadow at 9:11 AM.
1931,0 More winter,Saw Shadow at 12:27 AM.
1930,0 More winter,Saw Shadow at 7:11 AM.
1929,0 More winter,Predicted six more weeks of winter before sunrise.
1928,0 More winter,Saw Shadow at 10 AM; Program with Punx’y Rotary Club was on KDKA Radio.
1927,0 More winter,Saw Shadow at 8:35 AM.
1926,0 More winter,Saw Shadow at 9:17 AM.
1925,0 More winter,Saw Shadow 8:13 AM; CJ Margiotti gave groundhog tradition to the Pittsburgh Travel Club.
1924,0 More winter,Saw Shadow 7:13 AM; First appearance of logo with groundhog with umbrella and newspaper.
1923,0 More winter,Saw Shadow.
1922,0 More winter,Saw Shadow 7:11 AM; Groundhog Holiday Dance.
1921,0 More winter,Saw Shadow at 7:17 AM.
1920,0 More winter,Saw Shadow.
1919,0 More winter,Saw Shadow.
1918,0 More winter,Saw Shadow; Temperature 18 below zero.
1917,0 More winter,Saw Shadow at 9:07.
1916,0 More winter,Saw Shadow at 9:07; First films of the event. 
1915,0 More winter,Saw Shadow at 11:45 AM
1914,0 More winter,"Saw Shadow at 9:34 AM, Groundhog demonstrated “The Groundhog Flop”"
1913,0 More winter,Saw Shadow at 8:80 am. First newspaper photo of Groundhog by John Frampton. A new dance “The Groundhog Roll” was demonstrated by Joe Winslow.
