OBJECTID,BATHYP_COD,BATHY_POLY,AV_LEGEND,WB_NO,WBNAME,WBTOWN,LAKE_NO,BAY_NO,METHOD_COD,METHOD,DATADATE,DEPTH_FT,ACREAGE,Shape__Area,Shape__Length
1043,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,481.97601318,20994855.4607544,604370.542441376
1076,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,477.08898925,20782009.3573608,602201.433615753
1079,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,629.72802734,27430950.4631348,608723.200335786
1080,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.003,127.395812988281,45.3348667634876
1081,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,1591.11499023,69308961.7595215,541467.185611077
1082,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,1204.02905273,52447509.9074707,182243.783310317
1083,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,18.3409996,798935.113891602,30755.4264284135
1084,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,65,0.67799997,29537.7398681641,1424.64290859804
1085,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,75,0.56599998,24648.2141723633,571.53464462402
1087,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,65,16.9130001,736722.413208008,25967.2122857396
1089,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,75,26.49900054,1154311.29974365,24129.7542217738
1090,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,85,7.56199979,329399.506469727,4357.73101642492
1106,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,4.26399993,185757.923217773,2551.27768083626
1107,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,1.08200001,47122.1126708984,812.285103672401
1109,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.04199999,1824.81536865234,160.055324719619
1110,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.00999999,436.753356933594,80.1746450632793
1112,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,85,23.3409996,1016735.0088501,7041.29336690096
1125,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,9.01900005,392854.43170166,2416.01113554644
1127,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.13199999,5764.71612548828,343.92217600621
1130,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.22599999,9832.21014404297,365.793574377099
1131,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.143,6248.24548339844,294.697365101613
1132,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,0.12999999,5642.96044921875,306.167064673636
1133,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,3.56999993,155523.530029297,2136.96929252335
1135,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.28499999,12409.6182250977,430.311119170214
1136,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,3.44600009,150118.82611084,1679.79817905081
1137,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,23.46199989,1022008.2098999,20597.8530958048
1138,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,7.66900014,334056.164367676,15700.8112666337
1142,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.245,10690.2462768555,404.927006112369
1152,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,4.63199996,201767.544250488,2529.48066813736
1158,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,2.35899996,102776.495239258,1525.23474503282
1159,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,0.114,4969.21618652344,253.831925794035
1161,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,0.48399999,21069.9630126953,542.388390179448
1162,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,10.9130001,475385.728027344,3211.90394776079
1163,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,0.05,2180.35400390625,173.816915084181
1164,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,1.32899999,57910.2367553711,1563.77272021248
1165,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,0.31099998,13529.251159668,511.500321750218
1166,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.648,28244.6636962891,1129.19460847414
1167,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,0.126,5466.92266845703,274.397686079011
1170,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,0.326,14210.9387817383,431.619335589447
1171,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,0.30199998,13138.7813720703,420.239060579763
1172,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,0.55099999,24012.8552246094,653.396501052469
1173,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,0.06899999,2992.86346435547,210.540957161849
1174,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,0.48399999,21068.5710449219,547.220633074034
1175,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,10.00500011,435814.358154297,3238.11515764657
1176,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,12.28499984,535142.50177002,16696.4433668833
1178,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,0.08399999,3676.22491455078,224.519879236299
1181,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,1.25,54466.2457885742,909.962882574262
1182,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,45,0.509,22191.1124267578,565.07751641525
1186,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,2.74,119334.733642578,1282.2909455313
1187,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,0.136,5925.70727539063,279.420957143127
1190,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,0.03799999,1649.93237304688,153.159240622424
1192,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,2.00799989,87472.4172363281,1107.94416746546
1197,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,0.18999999,8293.61334228516,339.226251915745
1204,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,4.95300006,215769.09161377,2007.59336715047
1208,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,1.50199997,65417.6213989258,1030.45590969969
1209,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.14699999,6419.1240234375,325.481607077701
1212,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.49,21337.528137207,804.746088442954
1214,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,1.68700003,73492.6383056641,1294.59273064948
1216,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.56400001,24579.9234619141,564.324949987737
1217,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.24899999,10856.9336547852,384.616143439233
1218,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,8.59599971,374455.736328125,10219.7337656923
1219,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.05099999,2208.22906494141,174.636931761913
1220,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,15,7.05700016,307406.382995605,9782.51494037211
1221,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,8.17599964,356126.81072998,8071.15019331025
1224,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,0.04699999,2039.99377441406,162.325826219178
1225,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,0.026,1134.17553710938,122.109053075482
1227,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.93699997,40803.3168945313,739.59358211738
1228,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,55,0.99800002,43462.0477905273,1053.48661608017
1230,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,1.18700003,51690.9500732422,1587.41996553428
1232,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.55900001,24361.2333374023,580.902652894153
1241,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,1.07799994,46965.2708129883,4471.23328172277
1243,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,0.91900002,40033.9196777344,725.382409216725
1244,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.16099999,7012.35522460938,337.802363919538
1246,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,35,0.229,9984.50891113281,541.093850378405
1263,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.014,593.715270996094,89.2826722789715
1264,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,5,0.034,1463.75872802734,152.779032138066
1274,1,Water,Water,106,Candlewood Lake,"Brookfield, Danbury, New Fairfield, New Milford",1490,0,3,GPS and depth finder,2002,25,6.60599994,287741.83203125,2729.15525646078
