transect,point,lattitude,longitude,year,potfol,elonut,cerdem,najfle,potcri,myrspi,valame,najmin,potgra,potper,zanpal,calsp,nymodo,lemmin,spipol,stupec,elasp,potbic,potpus,unidentif3,elesp,spaspp,typha,point_sum,yearly_sum,potfol_sum,elonut_sum,cerdem_sum,najfle_sum,potcri_sum,myrspi_sum,valame_sum,najmin_sum,potgra_sum,potper_sum,zanpal_sum,calsp_sum,nymodo_sum,lemmin_sum,spipol_sum,stupec_sum,elasp_sum,potbic_sum,potpus_sum,unidentif3_sum,elesp_sum,spaspp_sum,typha_sum,other_sum
6,1,41.57054,-73.48871,2008,NA,NA,0,NA,0,5,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,5,336,0,0,69,0,1,225,4,9,0,4,5,0,2,10,0,2,1,1,1,2,0,0,0,42
6,1,41.5146,-73.45345,2008,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,0,336,0,0,69,0,1,225,4,9,0,4,5,0,2,10,0,2,1,1,1,2,0,0,0,42
6,1,41.51395,-73.45339,2008,NA,NA,0,NA,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,2,336,0,0,69,0,1,225,4,9,0,4,5,0,2,10,0,2,1,1,1,2,0,0,0,42
6,1,41.50205,-73.45222,2008,NA,NA,2,NA,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,5,336,0,0,69,0,1,225,4,9,0,4,5,0,2,10,0,2,1,1,1,2,0,0,0,42
6,1,41.42727,-73.44988,2008,NA,NA,0,NA,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,3,336,0,0,69,0,1,225,4,9,0,4,5,0,2,10,0,2,1,1,1,2,0,0,0,42
6,1,41.57152,-73.4432,2008,NA,NA,0,NA,0,4,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,4,336,0,0,69,0,1,225,4,9,0,4,5,0,2,10,0,2,1,1,1,2,0,0,0,42
6,2,41.57066,-73.48865,2008,NA,NA,0,NA,0,5,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,5,336,0,0,69,0,1,225,4,9,0,4,5,0,2,10,0,2,1,1,1,2,0,0,0,42
6,2,41.57112,-73.48838,2008,NA,NA,0,NA,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,2,336,0,0,69,0,1,225,4,9,0,4,5,0,2,10,0,2,1,1,1,2,0,0,0,42
6,2,41.42421,-73.45277,2008,NA,NA,3,NA,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,6,336,0,0,69,0,1,225,4,9,0,4,5,0,2,10,0,2,1,1,1,2,0,0,0,42
6,2,41.50221,-73.45249,2008,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,0,336,0,0,69,0,1,225,4,9,0,4,5,0,2,10,0,2,1,1,1,2,0,0,0,42
