Date,Value,Anomaly
1896,24.7,-0.6
1897,23.2,-2.1
1898,28.3,3
1899,23.8,-1.5
1900,27,1.7
1901,26.4,1.1
1902,23.4,-1.9
1903,24.3,-1
1904,17.3,-8
1905,20.8,-4.5
1906,32.3,7
1907,27,1.7
1908,25.5,0.2
1909,28.1,2.8
1910,24.5,-0.8
1911,29,3.7
1912,16,-9.3
1913,33.9,8.6
1914,27,1.7
1915,25.3,0
1916,31.4,6.1
1917,25.2,-0.1
1918,13.4,-11.9
1919,29.3,4
1920,18,-7.3
1921,28,2.7
1922,21.8,-3.5
1923,25.8,0.5
1924,25.1,-0.2
1925,22.2,-3.1
1926,24.7,-0.6
1927,24.4,-0.9
1928,26.8,1.5
1929,24.1,-1.2
1930,26,0.7
1931,27,1.7
1932,37.5,12.2
1933,34,8.7
1934,29.2,3.9
1935,24.2,-1.1
1936,20.6,-4.7
1937,33.3,8
1938,26,0.7
1939,27.3,2
1940,16,-9.3
1941,24.5,-0.8
1942,24.6,-0.7
1943,25.3,0
1944,28.4,3.1
1945,18.3,-7
1946,27,1.7
1947,31.5,6.2
1948,17.9,-7.4
1949,32.9,7.6
1950,35.8,10.5
1951,28.4,3.1
1952,29.7,4.4
1953,31.4,6.1
1954,25,-0.3
1955,24,-1.3
1956,25.1,-0.2
1957,21.9,-3.4
1958,24.5,-0.8
1959,23.4,-1.9
1960,28.4,3.1
1961,19.5,-5.8
1962,23.8,-1.5
1963,20.7,-4.6
1964,26.3,1
1965,22.9,-2.4
1966,22.1,-3.2
1967,30.5,5.2
1968,20.1,-5.2
1969,24.1,-1.2
1970,17.7,-7.6
1971,21.1,-4.2
1972,27.9,2.6
1973,28.3,3
1974,30.1,4.8
1975,29.2,3.9
1976,20.7,-4.6
1977,12.7,-12.6
1978,20.2,-5.1
1979,22.5,-2.8
1980,25.7,0.4
1981,19.2,-6.1
1982,18.2,-7.1
1983,27.2,1.9
1984,20.9,-4.4
1985,21.2,-4.1
1986,25.9,0.6
1987,24.9,-0.4
1988,21.7,-3.6
1989,30.9,5.6
1990,34.2,8.9
1991,26.6,1.3
1992,28.2,2.9
1993,30.4,5.1
1994,17.8,-7.5
1995,29.8,4.5
1996,23.6,-1.7
1997,25.1,-0.2
1998,34.3,9
1999,27,1.7
2000,25.6,0.3
2001,26.1,0.8
2002,33,7.7
2003,20.6,-4.7
2004,20,-5.3
2005,26.3,1
2006,35.2,9.9
2007,31.3,6
2008,29.2,3.9
2009,20.5,-4.8
2010,25.7,0.4
2011,22.5,-2.8
2012,30,4.7
2013,29,3.7
2014,19.6,-5.7
2015,22.5,-2.8
2016,25.4,0.1
2017,31.8,6.5
2018,23.1,-2.2
2019,25.8,0.5
2020,32.2,6.9
2021,29.4,4.1
2022,22.5,-2.8
2023,35.8,10.5
2024,30,4.7
