Year,Spring_var,Comments,bin_var,temp,Anomaly.x,rain,Anomaly.y
2024,1  Early spring,"NO Shadow at 7:26 AM; 36º with overcast skies. Miranda Moore, 2023 Miss Pennsylvania was the special guest of the Inner Circle at the Knob.",1,30,4.7,5.65,2.6
2023,0 More winter,Shadow at 7:24 AM; 13º with clear skies. PA Governor Josh Shapiro attends. Thousands of Eagles Super Bowl LVII fans help celebrate Phil’s big day at the Knob.,0,35.8,10.5,3.85,0.8
2022,0 More winter,Shadow at 7:27 AM; 27º with clear skies. A loyal crowd of thousands returned to Gobbler’s Knob.,0,22.5,-2.8,2.54,-0.51
2021,0 More winter,Shadow at 7:25 AM; 19º with light snow. Coronavirus fear prohibits crowds on Gobbler’s Knob.,0,29.4,4.1,1.79,-1.26
2020,1  Early spring,NO Shadow at 7:26 AM; 30º with light snow falling.,1,32.2,6.9,3.05,0
2019,1  Early spring,NO Shadow at 7:28 AM; 14º fog & mist with -1º Wind Chill.,1,25.8,0.5,4.27,1.22
2018,0 More winter,"At 7:25 a.m. with 18,000 Phil Phans present, Phil saw his shadow! Six More Weeks of Winter!",0,23.1,-2.2,3.28,0.23
2017,0 More winter,"7:25 a.m. Saw His Shadow, Six More Weeks of Winter! There were a few snow flurries during the prognostication.",0,31.8,6.5,3.82,0.77
2016,1  Early spring,No Shadow- Early Spring It was 28° at Gobbler’s Knob. Phil made his perdition of an Early Spring at 7:25 a.m.,1,25.4,0.1,2.39,-0.66
2015,0 More winter,Six More Weeks of Winter Was the prediction of Phil. The morning was filled with freezing rain. Phil emerged from his burrow at 7:26 a.m.,0,22.5,-2.8,2.44,-0.61
2014,0 More winter,"Six More Weeks of Winter With fog in site, Phil made his prediction at 7:26 a.m.",0,19.6,-5.7,2.32,-0.73
2013,1  Early spring,No Shadow- Early Spring A Balmy 7° Phil made his prediction at 7:25 a.m.,1,29,3.7,2.97,-0.08
2012,0 More winter,Six More Weeks of Winter The skies slightly overcast and a temperate of 30°. Phil saw his shadow!,0,30,4.7,3.36,0.31
2011,1  Early spring,"No Shadow- Early Spring With rain over head, Phil made his prediction.",1,22.5,-2.8,1.9,-1.15
2010,0 More winter,The temperature was 12°. Saw Shadow- Six More Weeks of Winter,0,25.7,0.4,3.08,0.03
2009,0 More winter,At 7:26 a.m. Phil saw his shadow and Inner Circle President Bill Cooper completed his final interpretation and retired at Gobbler’s Knob.,0,20.5,-4.8,2.68,-0.37
2008,0 More winter,"At 7:28 a.m., 29°, Phil Saw his Shadow.",0,29.2,3.9,2.03,-1.02
