Date,Value,Anomaly
1898,4.47,1.42
1899,3.18,0.13
1900,2.81,-0.24
1901,2.31,-0.74
1902,2.79,-0.26
1903,3.49,0.44
1904,3.55,0.5
1905,3.75,0.7
1906,2.45,-0.6
1907,4.64,1.59
1908,2.82,-0.23
1909,3.08,0.03
1910,5.73,2.68
1911,3.6,0.55
1912,1.92,-1.13
1913,4.99,1.94
1914,3.26,0.21
1915,5.45,2.4
1916,2.43,-0.62
1917,3.5,0.45
1918,3.58,0.53
1919,2.34,-0.71
1920,2.55,-0.5
1921,2.52,-0.53
1922,2.27,-0.78
1923,4.23,1.18
1924,4.38,1.33
1925,3.45,0.4
1926,2.71,-0.34
1927,2.78,-0.27
1928,2.08,-0.97
1929,3.41,0.36
1930,2.4,-0.65
1931,1.51,-1.54
1932,4.81,1.76
1933,1.93,-1.12
1934,2.54,-0.51
1935,3.09,0.04
1936,4.05,1
1937,6.44,3.39
1938,2.56,-0.49
1939,3.17,0.12
1940,1.39,-1.66
1941,2.64,-0.41
1942,1.79,-1.26
1943,2.64,-0.41
1944,2.1,-0.95
1945,2.68,-0.37
1946,1.35,-1.7
1947,3.71,0.66
1948,3,-0.05
1949,4.32,1.27
1950,4.46,1.41
1951,3.65,0.6
1952,4.65,1.6
1953,4.2,1.15
1954,2.17,-0.88
1955,1.11,-1.94
1956,1.7,-1.35
1957,2.14,-0.91
1958,3.72,0.67
1959,3.54,0.49
1960,2.88,-0.17
1961,2.16,-0.89
1962,2.8,-0.25
1963,1.83,-1.22
1964,3.59,0.54
1965,3.52,0.47
1966,3.45,0.4
1967,1.23,-1.82
1968,2.43,-0.62
1969,1.86,-1.19
1970,1.18,-1.87
1971,2.66,-0.39
1972,2.5,-0.55
1973,2.73,-0.32
1974,3.51,0.46
1975,3.78,0.73
1976,4.02,0.97
1977,1.5,-1.55
1978,6.51,3.46
1979,6.47,3.42
1980,1.25,-1.8
1981,0.72,-2.33
1982,3.49,0.44
1983,1.79,-1.26
1984,1.51,-1.54
1985,1.37,-1.68
1986,2.45,-0.6
1987,3,-0.05
1988,1.78,-1.27
1989,2.04,-1.01
1990,3.63,0.58
1991,2.75,-0.3
1992,1.95,-1.1
1993,2.52,-0.53
1994,4.52,1.47
1995,3.43,0.38
1996,5.83,2.78
1997,2.33,-0.72
1998,4.32,1.27
1999,5.84,2.79
2000,2.36,-0.69
2001,1.88,-1.17
2002,2.13,-0.92
2003,2.41,-0.64
2004,3.29,0.24
2005,5.58,2.53
2006,4.25,1.2
2007,3.79,0.74
2008,2.03,-1.02
2009,2.68,-0.37
2010,3.08,0.03
2011,1.9,-1.15
2012,3.36,0.31
2013,2.97,-0.08
2014,2.32,-0.73
2015,2.44,-0.61
2016,2.39,-0.66
2017,3.82,0.77
2018,3.28,0.23
2019,4.27,1.22
2020,3.05,0
2021,1.79,-1.26
2022,2.54,-0.51
2023,3.85,0.8
2024,5.65,2.6
